Date,Open,High,Low,Close,Volume
2023-02-28,33.14,33.42,32.88,33.28,98079
2023-02-27,32.7,33.54,32.58,33.22,127116
2023-02-24,33.1,33.42,32.62,32.72,102717
2023-02-23,33.26,33.86,32.9,33.08,153045
2023-02-22,33.8,34.0,32.66,33.14,211660
2023-02-21,35.18,35.3,33.84,33.84,201511
2023-02-20,34.2,35.16,33.82,35.14,223998
2023-02-17,32.98,34.2,32.98,34.18,268065
2023-02-16,32.3,33.0,32.1,33.0,120464
2023-02-15,32.0,32.38,31.82,32.16,99521
2023-02-14,32.28,32.3,31.7,32.16,111954
2023-02-13,32.0,32.36,31.4,32.0,192485
2023-02-10,32.16,32.4,31.34,31.7,181473
2023-02-09,31.34,32.24,31.34,32.24,150420
2023-02-08,32.0,32.26,31.34,31.42,182656
2023-02-07,30.7,32.08,30.7,32.0,333370
2023-02-06,31.72,31.86,30.3,30.76,509016
2023-02-03,31.6,32.1,31.4,32.0,334598
2023-02-02,29.3,31.42,28.34,31.4,2433243
2023-02-01,33.14,33.14,32.4,32.4,291673
2023-01-31,32.08,33.22,31.8,33.14,214849
2023-01-30,32.38,32.38,31.92,32.16,121977
2023-01-27,32.6,32.7,32.08,32.4,139390
2023-01-26,32.74,33.2,32.22,32.44,184270
2023-01-25,33.2,33.2,32.46,32.74,137658
2023-01-24,33.0,33.34,32.4,32.54,164306
2023-01-23,33.0,33.16,32.76,32.9,96617
2023-01-20,33.06,33.32,32.76,32.82,151123
2023-01-19,32.7,33.38,32.4,32.86,366171
2023-01-18,32.9,33.2,32.46,32.7,175325
2023-01-17,32.8,33.14,32.56,32.78,96052
2023-01-16,33.0,33.28,32.04,32.8,146306
2023-01-13,33.1,33.4,33.0,33.06,111328
2023-01-12,33.38,33.68,33.06,33.06,114374
2023-01-11,33.56,33.68,32.9,33.04,216869
2023-01-10,32.88,33.88,32.62,33.56,250376
2023-01-09,32.02,32.98,32.0,32.88,275436
2023-01-05,31.9,32.28,31.54,31.96,200854
2023-01-04,31.08,31.88,31.08,31.86,155645
2023-01-03,31.42,31.5,30.94,31.08,140362
2023-01-02,31.42,31.84,30.82,31.4,94673
2022-12-30,31.74,32.1,31.02,31.02,143451
2022-12-29,30.7,32.0,30.5,31.74,178659
2022-12-28,31.02,31.44,30.24,30.7,323118
2022-12-27,31.18,31.96,30.8,31.0,190259
2022-12-23,31.44,31.62,30.8,31.2,236660
2022-12-22,32.3,32.3,31.5,31.56,110606
2022-12-21,31.5,32.12,31.3,32.08,135652
2022-12-20,31.8,32.16,31.34,31.62,131300
2022-12-19,30.26,31.86,30.26,31.8,310640
2022-12-16,30.6,31.0,30.22,30.28,270578
2022-12-15,30.0,30.58,30.0,30.54,176315
2022-12-14,29.22,30.12,29.04,30.04,204539
2022-12-13,29.0,29.46,28.98,29.22,105837
2022-12-12,29.22,29.5,28.94,29.1,64406
2022-12-09,28.66,29.22,28.66,29.22,55823
2022-12-08,29.18,29.4,28.32,28.7,195890
2022-12-07,29.56,29.58,29.06,29.18,80624
2022-12-06,29.26,29.7,29.0,29.54,164549
2022-12-05,29.92,29.94,29.26,29.3,96353
2022-12-02,30.0,30.02,29.36,29.9,101898
2022-12-01,29.68,30.08,29.66,30.08,223459
2022-11-30,29.6,29.82,29.0,29.48,187041
2022-11-29,30.0,30.14,29.2,29.66,113470
2022-11-28,29.34,30.28,28.96,30.14,233063
2022-11-25,29.3,29.42,28.82,29.1,81024
2022-11-24,30.0,30.14,28.8,29.24,274033
2022-11-23,29.86,30.3,29.84,29.9,165235
2022-11-22,30.3,30.3,29.72,29.8,153771
2022-11-21,30.88,30.88,29.66,30.16,188833
2022-11-18,29.6,30.64,29.18,30.34,314891
2022-11-17,29.04,29.72,29.0,29.6,247792
2022-11-16,28.6,29.78,28.6,29.1,403133
2022-11-15,28.32,29.5,28.14,29.24,383498
2022-11-14,29.4,29.72,28.16,28.22,401836
2022-11-10,28.96,29.48,28.54,29.38,257531
2022-11-09,28.16,29.16,28.04,28.98,481182
2022-11-08,28.2,28.8,27.86,28.28,259124
2022-11-07,27.84,28.62,27.6,28.2,392498
2022-11-04,27.62,27.98,27.26,27.72,238645
2022-11-03,26.94,27.78,26.7,27.5,177013
2022-11-02,27.22,27.8,26.5,27.1,386258
2022-10-31,25.74,27.34,25.6,27.28,464588
2022-10-28,25.7,26.06,25.46,25.72,254557
2022-10-27,24.66,25.72,24.58,25.7,845290
2022-10-26,24.36,24.58,24.0,24.0,277687
2022-10-25,24.28,24.66,24.0,24.26,175392
2022-10-24,23.24,24.54,23.24,24.24,464525
2022-10-21,23.68,23.7,22.8,23.16,231248
2022-10-20,22.98,23.74,22.8,23.68,178210
2022-10-19,23.0,23.38,22.74,23.0,131055
2022-10-18,22.3,23.08,22.2,22.96,333401
2022-10-17,21.8,22.28,21.66,22.1,124838
2022-10-14,21.54,21.94,21.5,21.8,142786
2022-10-13,21.1,21.46,21.02,21.46,153973
2022-10-12,21.2,21.2,20.86,20.9,103978
2022-10-11,20.98,21.2,20.5,21.2,134063
2022-10-10,21.2,21.42,20.98,20.98,72779
2022-10-07,21.52,21.64,21.16,21.24,94404
2022-10-06,20.8,21.76,20.8,21.68,165770
2022-10-05,21.0,21.08,20.58,20.68,72833
2022-10-04,20.34,21.1,20.34,21.0,122403
2022-10-03,20.0,20.34,19.9,20.22,144854
2022-09-30,20.0,20.3,19.56,20.2,274996
2022-09-29,20.68,20.88,19.96,20.0,239177
2022-09-28,20.78,21.2,20.08,20.74,496450
2022-09-27,20.5,21.3,20.26,20.64,170732
2022-09-26,21.22,21.5,19.56,20.7,505442
2022-09-23,22.0,22.0,21.3,21.3,135302
2022-09-22,21.56,22.06,21.36,22.04,171207
2022-09-21,21.5,21.86,21.42,21.7,109593
2022-09-20,21.56,22.06,21.48,21.58,203992
2022-09-19,21.16,21.84,21.16,21.8,71506
2022-09-16,21.5,21.86,21.22,21.24,440498
2022-09-15,21.8,21.8,21.38,21.5,110374
2022-09-14,21.7,21.96,21.6,21.62,65611
2022-09-13,22.06,22.12,21.64,21.72,89664
2022-09-12,22.08,22.12,21.76,22.0,73611
2022-09-09,21.26,22.04,21.16,22.04,142662
2022-09-08,21.6,21.68,21.12,21.3,89581
2022-09-07,21.08,21.64,20.12,21.56,346049
2022-09-06,21.6,21.68,21.0,21.08,90634
2022-09-05,21.7,21.9,21.48,21.74,81685
2022-09-02,21.84,21.84,21.34,21.7,98679
2022-09-01,21.86,21.86,21.18,21.82,205415
2022-08-31,21.1,21.92,21.1,21.82,154361
2022-08-30,21.54,21.56,21.1,21.18,133149
2022-08-29,21.26,21.68,20.94,21.54,150810
2022-08-26,21.86,21.86,21.34,21.4,125823
2022-08-25,21.64,21.96,21.64,21.86,53726
