Date,Open,High,Low,Close,Volume
2023-01-18,34.64,34.77,33.74,34.13,5955303.0
2023-01-17,35.6,35.75,34.48,34.64,4067224.0
2023-01-16,35.3,36.13,34.67,35.82,5125957.0
2023-01-13,35.6,35.76,34.38,35.32,3720611.0
2023-01-12,34.67,36.05,34.67,35.58,6115511.0
2023-01-11,35.0,35.44,34.35,34.45,5663558.0
2023-01-10,34.18,35.19,33.77,35.0,4931941.0
2023-01-09,33.5,34.5,33.5,34.43,3856027.0
2023-01-05,32.53,33.41,32.19,33.19,5045444.0
2023-01-04,31.81,32.83,31.72,32.67,3850196.0
2023-01-03,30.3,32.18,30.29,31.76,3677275.0
2023-01-02,30.5,30.89,30.23,30.27,566681.0
2022-12-30,30.4,30.54,30.19,30.29,1420447.0
2022-12-29,29.98,30.55,29.85,30.55,1389849.0
2022-12-28,29.69,30.08,29.55,29.94,1474954.0
2022-12-27,30.1,30.27,29.69,29.7,740745.0
2022-12-23,30.27,30.28,29.71,29.97,1142303.0
2022-12-22,30.45,30.75,30.08,30.27,1873663.0
2022-12-21,29.51,30.45,29.26,30.42,2837308.0
2022-12-20,28.93,29.51,28.8,29.51,1104175.0
2022-12-19,28.86,29.31,28.8,29.1,1661354.0
2022-12-16,29.0,29.04,28.66,28.91,6260545.0
2022-12-15,29.18,29.4,28.8,29.23,3094618.0
2022-12-14,29.6,29.64,29.22,29.49,2149414.0
2022-12-13,29.0,30.08,28.79,29.44,3029902.0
2022-12-12,28.51,29.05,28.16,29.0,1898500.0
2022-12-09,28.38,28.59,28.14,28.59,1314654.0
2022-12-08,28.63,28.66,28.06,28.14,1736511.0
2022-12-07,28.75,28.99,28.52,28.73,1885853.0
2022-12-06,29.22,29.29,28.65,28.85,2506974.0
2022-12-05,29.07,29.74,28.9,29.35,1987750.0
2022-12-02,29.6,29.74,28.64,28.87,4625127.0
2022-12-01,28.8,29.73,28.7,29.67,4693215.0
2022-11-30,28.5,28.76,28.15,28.35,4507786.0
2022-11-29,28.64,28.79,28.02,28.35,1979819.0
2022-11-28,28.66,29.14,28.5,28.59,3142064.0
2022-11-25,28.78,29.03,28.53,28.86,1671831.0
2022-11-24,28.11,28.96,28.07,28.87,1833641.0
2022-11-23,28.2,28.48,28.02,28.07,1650098.0
2022-11-22,27.73,28.43,27.53,28.15,1977572.0
2022-11-21,28.06,28.2,27.56,27.86,2943119.0
2022-11-18,27.8,28.36,27.4,28.06,3391546.0
2022-11-17,28.73,28.78,27.34,27.88,4573749.0
2022-11-16,29.0,29.24,28.1,28.61,4075361.0
2022-11-15,28.71,29.5,28.4,29.45,4060104.0
2022-11-14,27.61,28.96,27.61,28.62,5406956.0
2022-11-10,26.5,27.73,26.15,27.6,4410643.0
2022-11-09,26.68,27.27,26.51,26.77,2552530.0
2022-11-08,26.65,26.74,26.25,26.68,2013097.0
2022-11-07,25.65,26.89,25.63,26.63,3400654.0
2022-11-04,26.0,26.19,25.43,25.65,3604931.0
2022-11-03,25.8,26.05,25.5,25.9,2819039.0
2022-11-02,26.21,26.49,25.75,26.41,4358940.0
2022-10-31,25.89,26.08,25.64,26.07,3553889.0
2022-10-28,25.1,25.86,24.91,25.72,3210608.0
2022-10-27,24.85,25.48,24.63,25.31,2368643.0
2022-10-26,24.49,24.98,24.3,24.86,2443238.0
2022-10-25,24.5,24.83,24.03,24.49,2158244.0
2022-10-24,24.61,24.92,24.13,24.52,2886597.0
2022-10-21,24.05,24.61,23.8,24.25,2951489.0
2022-10-20,23.2,24.24,22.9,24.1,4129377.0
2022-10-19,23.8,23.94,23.18,23.21,3044626.0
2022-10-18,23.18,23.92,23.15,23.73,3808167.0
2022-10-17,22.52,22.95,22.27,22.93,1728996.0
2022-10-14,22.48,22.82,22.24,22.54,2772457.0
2022-10-13,22.06,22.15,21.35,21.88,4207163.0
2022-10-12,21.88,22.23,21.44,22.1,4040214.0
2022-10-11,21.4,22.15,21.22,21.7,2726961.0
2022-10-10,22.01,22.09,21.4,21.47,2965283.0
2022-10-07,22.11,22.4,22.0,22.2,3300350.0
2022-10-06,22.3,22.62,22.0,22.11,3385326.0
2022-10-05,22.9,22.93,22.0,22.0,2141805.0
2022-10-04,22.2,22.97,22.11,22.94,2805729.0
2022-10-03,21.74,21.89,21.14,21.8,3615583.0
2022-09-30,21.92,22.08,21.31,21.84,4641703.0
2022-09-29,22.55,22.78,21.65,21.75,6199573.0
2022-09-28,22.2,22.67,21.6,22.46,4775724.0
2022-09-27,22.8,23.1,22.49,22.71,2816094.0
2022-09-26,22.51,22.92,22.11,22.45,3264348.0
2022-09-23,23.31,23.31,22.6,22.68,2310297.0
2022-09-22,22.9,23.6,22.72,23.35,1791290.0
2022-09-21,23.6,23.76,23.22,23.29,3041792.0
2022-09-20,24.51,24.99,23.57,23.72,3624743.0
2022-09-19,23.66,24.45,23.5,24.31,2078717.0
2022-09-16,24.29,24.4,23.22,23.66,7121101.0
2022-09-15,24.59,24.88,24.36,24.6,2956438.0
2022-09-14,24.02,24.64,24.0,24.39,2879852.0
2022-09-13,25.35,25.46,24.0,24.51,4480701.0
2022-09-12,24.7,25.33,24.2,25.31,3972851.0
2022-09-09,23.4,24.43,23.37,24.29,4218790.0
2022-09-08,22.8,23.34,22.66,23.13,3662496.0
2022-09-07,22.5,22.64,22.1,22.51,4936438.0
2022-09-06,22.9,23.0,22.35,22.77,3544982.0
2022-09-05,23.0,23.12,22.64,22.84,3533432.0
2022-09-02,22.56,23.5,22.24,23.39,10481737.0
2022-09-01,23.4,23.4,22.03,22.09,4739512.0
2022-08-31,23.11,23.76,22.66,23.52,5072747.0
2022-08-30,23.3,23.68,22.8,22.87,2354019.0
2022-08-29,23.12,23.35,22.92,23.17,2243966.0
2022-08-26,24.6,24.6,23.37,23.56,2926897.0
2022-08-25,23.71,24.57,23.7,24.48,3074675.0
2022-08-24,23.94,24.14,23.4,23.48,3504535.0
2022-08-23,24.1,24.45,23.91,24.05,2980753.0
2022-08-22,24.65,25.07,23.95,24.25,3380492.0
2022-08-19,24.26,25.24,24.12,24.73,4660524.0
2022-08-18,24.43,24.77,23.97,24.7,3044913.0
2022-08-17,25.38,25.53,24.09,24.09,4194720.0
2022-08-16,25.5,25.74,24.9,25.37,2566695.0
2022-08-12,25.47,25.74,25.18,25.35,2120508.0
2022-08-11,25.3,25.5,25.01,25.5,2927588.0
2022-08-10,24.99,25.49,24.56,25.04,2942288.0
2022-08-09,25.1,25.95,25.0,25.0,3986544.0
2022-08-08,24.3,25.19,24.1,25.13,4050346.0
2022-08-05,24.06,24.54,23.9,24.03,3590549.0
2022-08-04,24.79,24.83,23.77,23.95,6026965.0
2022-08-03,24.9,25.18,24.27,24.6,4685322.0
2022-08-02,25.1075,25.1075,24.428,24.67,4509610.3770697
2022-08-01,24.6141,25.0889,24.4931,25.061,2801727.8071113
2022-07-29,24.1301,24.4093,23.8322,24.3814,3217962.5659363
2022-07-28,24.0183,24.2045,23.5994,23.8601,4889374.6048846
2022-07-27,24.0835,24.1487,23.3853,23.7391,3512377.8881961
2022-07-26,24.7165,24.9307,23.6739,23.9718,2765406.5870051
2022-07-25,24.6421,25.182,24.4838,24.7165,1913699.5946891
2022-07-22,24.7445,25.0051,24.521,24.5955,1637800.9728755
2022-07-21,24.7538,24.8841,24.2138,24.7445,1588373.6927772
2022-07-20,25.0238,25.2286,24.4373,24.6141,3217018.3624502
2022-07-19,24.3162,24.7817,24.0742,24.67,3636016.9842668
2022-07-18,24.2045,24.549,24.0556,24.3162,4670931.6782485
2022-07-15,23.9066,24.1673,23.5529,23.888,2191311.5322709
2022-07-14,24.4931,24.67,23.5901,23.646,5712368.7881202
2022-07-13,24.67,24.9493,23.8973,24.4838,6348946.6965242
2022-07-12,25.1355,25.1727,24.4186,24.5117,7500747.1221662
2022-07-11,25.4148,25.6103,25.061,25.2751,2895006.3032624
2022-07-08,24.5769,25.8337,24.2511,25.7871,5463178.5570652
2022-07-07,24.7259,25.3868,24.5769,24.5769,5146837.0896893
2022-07-06,24.67,24.8096,23.9066,24.549,2718247.9733033
2022-07-05,25.3589,25.7127,24.0928,24.3628,4256615.4034122
2022-07-04,25.6009,25.6661,24.0742,25.0424,5992479.2664397
2022-07-01,26.0571,26.8205,25.6009,25.6009,4182520.6729689
2022-06-30,26.5226,26.5226,25.8244,26.0664,3824054.1954584
2022-06-29,27.2487,27.2487,26.6622,26.7367,3770257.1545168
2022-06-28,26.9974,27.528,26.7832,27.4163,3536556.5870211
2022-06-27,27.1835,27.2766,26.625,26.7646,2538008.2286704
2022-06-24,26.0664,27.0253,25.8709,26.9136,1677307.1342059
2022-06-23,26.3457,26.8577,25.964,25.964,2271285.2452843
2022-06-22,26.4853,26.6529,26.1223,26.4109,1603527.1382578
